"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2024","258.96","257.86","259.11","256.77","","0.47%"
"07/10/2024","257.74","255.98","257.88","255.37","","0.69%"
"07/09/2024","255.98","258.74","258.79","255.36","","-1.09%"
"07/08/2024","258.79","260.46","260.63","257.89","","-0.64%"
"07/05/2024","260.45","264.12","264.29","259.82","","-1.39%"
"07/04/2024","264.11","263.09","264.24","263.09","","0.36%"
"07/03/2024","263.16","261.85","264.53","261.76","","0.52%"
"07/02/2024","261.81","260.95","263.76","260.70","","0.34%"
"07/01/2024","260.92","260.50","263.23","260.03","","0.20%"
"06/28/2024","260.41","259.47","262.13","259.26","","0.35%"
"06/27/2024","259.49","258.37","260.31","258.27","","0.41%"
"06/26/2024","258.44","260.45","260.78","257.41","","-0.75%"
"06/25/2024","260.39","259.93","260.88","258.99","","0.20%"
"06/24/2024","259.87","254.32","260.57","253.97","","2.20%"
"06/21/2024","254.28","255.90","256.60","254.28","","-0.65%"
"06/20/2024","255.95","252.57","256.65","252.47","","1.32%"
"06/19/2024","252.62","252.71","252.95","252.46","","0.01%"
"06/18/2024","252.60","251.02","254.76","250.67","","0.76%"
"06/17/2024","250.70","250.63","251.73","249.57","","0.07%"
"06/14/2024","250.52","252.84","252.93","249.69","","-0.95%"
"06/13/2024","252.93","256.13","256.19","252.07","","-1.37%"
"06/12/2024","256.45","257.44","259.69","255.36","","-0.31%"
"06/11/2024","257.26","258.48","258.61","255.05","","-0.40%"
"06/10/2024","258.29","256.38","259.46","255.89","","0.70%"
"06/07/2024","256.49","258.26","258.92","255.73","","-0.60%"
"06/06/2024","258.05","256.77","258.26","256.06","","0.59%"
"06/05/2024","256.54","256.70","257.64","255.70","","-0.07%"
"06/04/2024","256.73","260.61","260.69","253.91","","-1.43%"
"06/03/2024","260.46","266.15","266.79","259.37","","-2.10%"
"05/31/2024","266.05","260.59","266.20","260.55","","2.06%"
"05/30/2024","260.67","260.15","261.42","259.58","","0.15%"
