"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2024","2.298","2.330","2.343","2.282","","-1.33%"
"07/10/2024","2.329","2.346","2.385","2.292","146.36K","-0.64%"
"07/09/2024","2.344","2.373","2.448","2.331","155.19K","-0.93%"
"07/08/2024","2.366","2.270","2.390","2.268","162.31K","2.03%"
"07/05/2024","2.319","2.421","2.440","2.315","156.54K","-2.19%"
"07/04/2024","2.371","2.431","2.439","2.335","","-1.94%"
"07/03/2024","2.418","2.466","2.480","2.410","125.89K","-0.70%"
"07/02/2024","2.435","2.476","2.484","2.415","154.26K","-1.74%"
"07/01/2024","2.478","2.576","2.602","2.471","181.93K","-4.73%"
"06/28/2024","2.601","2.702","2.765","2.594","151.33K","-3.13%"
"06/27/2024","2.685","2.734","2.784","2.673","140.00K","2.17%"
"06/26/2024","2.628","2.737","2.746","2.613","1.56K","-4.64%"
"06/25/2024","2.756","2.816","2.844","2.699","78.23K","-1.96%"
"06/24/2024","2.811","2.670","2.834","2.635","45.42K","3.92%"
"06/21/2024","2.705","2.725","2.770","2.672","79.37K","-1.31%"
"06/20/2024","2.741","2.903","2.948","2.723","186.69K","-6.00%"
"06/19/2024","2.916","2.904","2.928","2.859","","0.24%"
"06/18/2024","2.909","2.772","2.916","2.772","147.41K","4.34%"
"06/17/2024","2.788","2.846","2.848","2.759","152.24K","-5.91%"
"06/14/2024","2.963","3.000","3.068","2.950","80.26K","-2.44%"
"06/13/2024","3.037","3.104","3.167","2.978","94.27K","-2.72%"
"06/12/2024","3.122","3.194","3.194","3.073","101.31K","-2.22%"
"06/11/2024","3.193","3.046","3.221","3.031","85.32K","7.26%"
