Date,Open,High,Low,Close,Adj Close,Volume
2008-06-25,35.590000,35.590000,35.000000,35.279999,25.588976,8762400
2008-06-26,34.950001,34.950001,33.799999,34.700001,25.168301,10217700
2008-06-27,34.080002,34.080002,33.509998,33.700001,24.442984,9277200
2008-06-30,33.650002,34.220001,33.590000,34.009998,24.667830,5948100
2008-07-01,33.500000,34.160000,33.369999,33.990002,24.653324,12149100
2008-07-02,34.130001,34.169998,32.900002,32.950001,23.899000,12311600
2008-07-03,33.349998,33.529999,32.950001,33.410000,24.232643,5800600
2008-07-07,33.490002,33.820000,33.000000,33.369999,24.203632,7051500
2008-07-08,33.250000,34.139999,33.250000,34.139999,24.762112,12327600
2008-07-09,34.130001,34.279999,33.160000,33.189999,24.073072,9153300
2008-07-10,33.500000,33.790001,33.180000,33.700001,24.442984,9592300
2008-07-11,33.419998,33.790001,32.950001,33.090000,24.000540,9542500
2008-07-14,33.450001,33.889999,32.889999,33.240002,24.109331,7401600
2008-07-15,33.090000,33.139999,32.000000,32.580002,23.630638,9592400
2008-07-16,32.750000,33.590000,32.340000,33.330002,24.174616,9211200
2008-07-17,33.830002,34.250000,33.459999,34.250000,24.841911,10626300
2008-07-18,34.150002,34.299999,33.799999,34.299999,24.878168,7400600
2008-07-21,34.240002,34.330002,33.830002,34.330002,24.899929,7538200
2008-07-22,34.080002,34.790001,34.080002,34.750000,25.204561,6980700
2008-07-23,35.000000,35.209999,34.619999,35.020000,25.400394,8744400
2008-07-24,35.299999,35.349998,34.130001,34.150002,24.769371,9031900
2008-07-25,34.639999,34.639999,34.250000,34.470001,25.001478,8323800
2008-07-28,34.599998,34.599998,33.570000,33.680000,24.428474,7177100
2008-07-29,33.880001,34.950001,33.869999,34.950001,25.349625,6799400
2008-07-30,34.950001,35.480000,34.840000,35.360001,25.646999,9428100
2008-07-31,35.119999,35.250000,34.270000,34.279999,24.863661,17874300
2008-08-01,34.599998,34.700001,34.049999,34.250000,24.841911,8000000
2008-08-04,34.180000,34.320000,33.869999,34.099998,24.733103,7557100
2008-08-05,34.419998,35.090000,34.419998,35.049999,25.422155,9724900
2008-08-06,35.049999,35.720001,34.689999,35.720001,25.908115,6915000
2008-08-07,34.820000,35.099998,34.520000,34.520000,25.037735,10655800
2008-08-08,34.660000,35.889999,34.529999,35.709999,25.900866,11684800
2008-08-11,35.820000,36.110001,35.500000,35.799999,25.966125,12795800
2008-08-12,35.790001,35.799999,35.290001,35.450001,25.712275,7227600
2008-08-13,35.279999,35.389999,34.720001,35.320000,25.617996,11052000
2008-08-14,35.070000,35.730000,34.889999,35.450001,25.712275,9603900
2008-08-15,35.590000,35.860001,35.430000,35.650002,25.857336,6119200
2008-08-18,35.770000,35.799999,35.000000,35.250000,25.567209,6234800
2008-08-19,35.209999,35.209999,34.509998,34.810001,25.248085,6894300
