Date,ManU_stock,Lindsell_stock,Position,Points,Cumulative_points,Unexpected_points,Interest
2016-08-15,16.56999969482422,783.5,1.0,3.0,3.0,1.0808509450291743,38.0
2016-08-16,16.440000534057617,785.0,1.0,3.0,3.0,1.0808509450291743,38.0
2016-08-17,16.260000228881836,785.0,1.0,3.0,3.0,1.0808509450291743,38.0
2016-08-18,16.579999923706055,805.0,1.0,3.0,3.0,1.0808509450291743,38.0
2016-08-19,16.350000381469727,819.0,1.0,3.0,6.0,0.8526842051238703,38.0
2016-08-22,16.31999969482422,885.0,1.0,3.0,6.0,0.8526842051238703,38.0
2016-08-23,16.399999618530273,855.0,1.0,3.0,6.0,0.8526842051238703,38.0
2016-08-24,16.790000915527344,875.0,1.0,3.0,6.0,0.8526842051238703,38.0
2016-08-25,16.809999465942383,865.0,1.0,3.0,6.0,0.8526842051238703,38.0
2016-08-26,16.6200008392334,845.0,1.0,3.0,6.0,0.8526842051238703,38.0
2016-08-29,16.559999465942383,845.0,2.0,3.0,9.0,0.7539154443204676,38.0
2016-08-30,16.59000015258789,821.0,2.0,3.0,9.0,0.7539154443204676,38.0
2016-08-31,16.639999389648438,795.0,2.0,3.0,9.0,0.7539154443204676,38.0
2016-09-01,17.040000915527344,804.0,2.0,3.0,9.0,0.7539154443204676,38.0
2016-09-02,17.110000610351562,792.8300170898438,2.0,3.0,9.0,0.7539154443204676,38.0
2016-09-06,17.190000534057617,740.0,2.0,3.0,9.0,0.7539154443204676,38.0
2016-09-07,17.309999465942383,708.5050048828125,2.0,3.0,9.0,0.7539154443204676,38.0
2016-09-08,17.31999969482422,772.5,2.0,3.0,9.0,0.7539154443204676,38.0
2016-09-09,17.260000228881836,770.0,2.0,3.0,9.0,0.7539154443204676,38.0
2016-09-12,17.200000762939453,752.72998046875,3.0,0.0,9.0,-1.5305612191746163,31.0
2016-09-13,17.200000762939453,792.5,3.0,0.0,9.0,-1.5305612191746163,31.0
2016-09-14,17.139999389648438,835.0,3.0,0.0,9.0,-1.5305612191746163,31.0
2016-09-15,17.200000762939453,851.0050048828125,3.0,0.0,9.0,-1.5305612191746163,31.0
2016-09-16,17.309999465942383,925.0,3.0,0.0,9.0,-1.5305612191746163,31.0
2016-09-19,17.209999084472656,850.0,7.0,0.0,9.0,-2.089159199135166,31.0
2016-09-20,16.860000610351562,857.5,7.0,0.0,9.0,-2.089159199135166,31.0
2016-09-21,16.979999542236328,862.5,7.0,0.0,9.0,-2.089159199135166,31.0
2016-09-22,17.18000030517578,887.5,7.0,0.0,9.0,-2.089159199135166,31.0
2016-09-23,17.219999313354492,885.0,7.0,0.0,9.0,-2.089159199135166,31.0
2016-09-26,16.790000915527344,847.5050048828125,6.0,3.0,12.0,1.0103550865448048,31.0
2016-09-27,17.25,885.0,6.0,3.0,12.0,1.0103550865448048,31.0
2016-09-28,17.309999465942383,890.0,6.0,3.0,12.0,1.0103550865448048,31.0
2016-09-29,16.989999771118164,872.5,6.0,3.0,12.0,1.0103550865448048,31.0
2016-09-30,16.8799991607666,828.0800170898438,6.0,3.0,12.0,1.0103550865448048,31.0
2016-10-03,17.040000915527344,826.6699829101562,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-04,17.010000228881836,880.0650024414062,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-05,16.899999618530273,860.0,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-06,16.799999237060547,831.0,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-07,16.489999771118164,840.0,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-10,16.3700008392334,845.0,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-11,16.0,825.0,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-12,15.789999961853027,845.0,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-13,15.529999732971191,826.0,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-14,15.859999656677246,820.0,6.0,1.0,13.0,-1.416324070685981,28.0
2016-10-17,15.850000381469728,790.0,7.0,1.0,14.0,-0.1238386041439476,28.0
2016-10-18,15.850000381469728,805.0,7.0,1.0,14.0,-0.1238386041439476,28.0
2016-10-19,16.0,795.0,7.0,1.0,14.0,-0.1238386041439476,28.0
2016-10-20,15.899999618530272,785.0,7.0,1.0,14.0,-0.1238386041439476,28.0
2016-10-21,15.899999618530272,800.0,7.0,1.0,14.0,-0.1238386041439476,28.0
2016-10-24,15.800000190734863,795.0,7.0,0.0,14.0,-1.06559349443892,28.0
2016-10-25,15.5,781.6799926757812,7.0,0.0,14.0,-1.06559349443892,28.0
2016-10-26,15.449999809265137,777.5,7.0,0.0,14.0,-1.06559349443892,28.0
2016-10-27,15.350000381469728,780.0,7.0,0.0,14.0,-1.06559349443892,28.0
2016-10-28,15.25,767.5,7.0,0.0,14.0,-1.06559349443892,28.0
2016-10-31,15.300000190734863,772.5,8.0,1.0,15.0,-1.487267422516827,28.0
2016-11-01,15.350000381469728,782.5,8.0,1.0,15.0,-1.487267422516827,28.0
2016-11-02,15.050000190734863,775.0,8.0,1.0,15.0,-1.487267422516827,28.0
2016-11-03,15.25,767.5,8.0,1.0,15.0,-1.487267422516827,28.0
2016-11-04,14.949999809265137,757.5,8.0,1.0,15.0,-1.487267422516827,28.0
2016-11-07,15.100000381469728,780.0,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-08,15.100000381469728,785.0,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-09,15.199999809265137,790.0,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-10,15.199999809265137,795.0,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-11,14.949999809265137,797.5,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-14,14.949999809265137,807.5,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-15,14.899999618530272,845.510009765625,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-16,15.050000190734863,855.0,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-17,15.0,882.5,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-18,15.199999809265137,865.0,6.0,3.0,18.0,1.017128613898662,27.0
2016-11-21,15.100000381469728,870.0,6.0,1.0,19.0,-0.4788165305706982,27.0
2016-11-22,15.300000190734863,880.0,6.0,1.0,19.0,-0.4788165305706982,27.0
2016-11-23,15.199999809265137,877.5,6.0,1.0,19.0,-0.4788165305706982,27.0
2016-11-25,15.350000381469728,870.010009765625,6.0,1.0,19.0,-0.4788165305706982,27.0
2016-11-28,15.0,865.0900268554688,6.0,1.0,20.0,-1.3319316886563044,27.0
2016-11-29,15.050000190734863,890.0,6.0,1.0,20.0,-1.3319316886563044,27.0
2016-11-30,14.949999809265137,883.5050048828125,6.0,1.0,20.0,-1.3319316886563044,27.0
2016-12-01,14.850000381469728,871.7550048828125,6.0,1.0,20.0,-1.3319316886563044,27.0
2016-12-02,14.649999618530272,877.0,6.0,1.0,20.0,-1.3319316886563044,27.0
2016-12-05,14.699999809265137,882.5050048828125,6.0,1.0,21.0,-0.7817603366217238,26.0
2016-12-06,14.600000381469728,888.5,6.0,1.0,21.0,-0.7817603366217238,26.0
2016-12-07,14.720000267028809,885.0,6.0,1.0,21.0,-0.7817603366217238,26.0
2016-12-08,15.100000381469728,872.3300170898438,6.0,1.0,21.0,-0.7817603366217238,26.0
2016-12-09,15.149999618530272,877.5,6.0,1.0,21.0,-0.7817603366217238,26.0
2016-12-12,15.199999809265137,871.0499877929688,6.0,3.0,24.0,1.362225357790768,26.0
2016-12-13,14.600000381469728,872.0700073242188,6.0,3.0,24.0,1.362225357790768,26.0
2016-12-14,14.699999809265137,880.0,6.0,3.0,27.0,1.036604417525897,26.0
2016-12-15,14.300000190734863,882.5,6.0,3.0,27.0,1.036604417525897,26.0
2016-12-16,14.399999618530272,890.0,6.0,3.0,27.0,1.036604417525897,26.0
2016-12-19,14.399999618530272,897.5,6.0,3.0,30.0,0.985749567794517,26.0
2016-12-20,14.399999618530272,907.5,6.0,3.0,30.0,0.985749567794517,26.0
2016-12-21,14.350000381469728,897.5,6.0,3.0,30.0,0.985749567794517,26.0
2016-12-22,14.199999809265137,922.0,6.0,3.0,30.0,0.985749567794517,26.0
2016-12-23,14.5,910.0,6.0,3.0,30.0,0.985749567794517,26.0
2016-12-27,14.550000190734863,910.0,6.0,3.0,33.0,0.4402797045355968,26.0
2016-12-28,14.649999618530272,915.0,6.0,3.0,33.0,0.4402797045355968,26.0
2016-12-29,14.350000381469728,912.5,6.0,3.0,33.0,0.4402797045355968,26.0
2016-12-30,14.25,912.5,6.0,3.0,33.0,0.4402797045355968,26.0
2017-01-03,14.699999809265137,912.5,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-04,15.449999809265137,897.5,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-05,15.800000190734863,896.989990234375,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-06,15.800000190734863,867.5,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-09,15.899999618530272,877.0599975585938,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-10,15.75,872.0700073242188,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-11,15.850000381469728,850.0,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-12,15.75,830.0,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-13,15.949999809265137,832.5,6.0,3.0,39.0,0.8798061292585686,33.0
2017-01-17,15.75,802.5,6.0,1.0,40.0,-0.7371935574647006,33.0
2017-01-18,15.800000190734863,814.0,6.0,1.0,40.0,-0.7371935574647006,33.0
2017-01-19,15.850000381469728,777.5050048828125,6.0,1.0,40.0,-0.7371935574647006,33.0
2017-01-20,15.850000381469728,770.5800170898438,6.0,1.0,40.0,-0.7371935574647006,33.0
2017-01-23,15.800000190734863,761.0,6.0,1.0,41.0,-1.0523521580071271,33.0
2017-01-24,15.850000381469728,739.989990234375,6.0,1.0,41.0,-1.0523521580071271,33.0
2017-01-25,15.800000190734863,735.0,6.0,1.0,41.0,-1.0523521580071271,33.0
2017-01-26,15.899999618530272,721.0399780273438,6.0,1.0,41.0,-1.0523521580071271,33.0
2017-01-27,15.899999618530272,701.469970703125,6.0,1.0,41.0,-1.0523521580071271,33.0
2017-01-30,15.550000190734863,696.9949951171875,6.0,1.0,41.0,-1.0523521580071271,33.0
2017-01-31,15.25,691.3099975585938,6.0,1.0,41.0,-1.0523521580071271,33.0
2017-02-01,15.600000381469728,715.0,6.0,1.0,42.0,-1.568932038834952,34.0
2017-02-02,15.100000381469728,725.0,6.0,1.0,42.0,-1.568932038834952,34.0
2017-02-03,15.0,760.4400024414062,6.0,1.0,42.0,-1.568932038834952,34.0
2017-02-06,15.0,810.0,6.0,3.0,45.0,1.065688281699921,34.0
2017-02-07,15.100000381469728,802.0,6.0,3.0,45.0,1.065688281699921,34.0
2017-02-08,15.149999618530272,807.6599731445312,6.0,3.0,45.0,1.065688281699921,34.0
2017-02-09,15.149999618530272,830.0,6.0,3.0,45.0,1.065688281699921,34.0
2017-02-10,15.25,820.0,6.0,3.0,45.0,1.065688281699921,34.0
2017-02-13,15.800000190734863,812.0,6.0,3.0,48.0,0.5342215219256907,34.0
