קטגוריה: פיננסים

חודש,מנצ'סטר יונייטד: (בכל העולם)
2004-01,10
2004-02,16
2004-03,13
2004-04,11
2004-05,14
2004-06,10
2004-07,7
2004-08,8
2004-09,14
2004-10,16
2004-11,19
2004-12,9
2005-01,9
2005-02,22
2005-03,15
2005-04,13
2005-05,25
2005-06,13
2005-07,12
2005-08,12
2005-09,8
2005-10,10
2005-11,10
2005-12,11
2006-01,10
2006-02,13
2006-03,8
2006-04,11
2006-05,10
2006-06,7
2006-07,18
2006-08,13
2006-09,12
2006-10,12
2006-11,13
2006-12,14
2007-01,14
2007-02,11
2007-03,14
2007-04,19
2007-05,16
2007-06,11
2007-07,15
2007-08,17
2007-09,14
2007-10,14
2007-11,13
2007-12,12
2008-01,12
2008-02,13
2008-03,13
2008-04,19
2008-05,21
2008-06,15
2008-07,17
2008-08,18
2008-09,21
2008-10,14
2008-11,14
2008-12,14
2009-01,20
2009-02,16
2009-03,18
2009-04,21
2009-05,28
2009-06,26
2009-07,22
2009-08,22
2009-09,16
2009-10,16
2009-11,16
2009-12,17
2010-01,23
2010-02,20
2010-03,21
2010-04,21
2010-05,15
2010-06,14
2010-07,20
2010-08,21
2010-09,16
2010-10,19
2010-11,19
2010-12,17
2011-01,18
2011-02,18
2011-03,18
2011-04,23
2011-05,29
2011-06,20
2011-07,23
2011-08,27
2011-09,21
2011-10,17
2011-11,15
2011-12,17
2012-01,19
2012-02,19
2012-03,18
2012-04,19
2012-05,19
2012-06,18
2012-07,24
2012-08,36
2012-09,25
2012-10,18
2012-11,19
2012-12,20
2013-01,21
2013-02,24
2013-03,23
2013-04,20
2013-05,24
2013-06,21
2013-07,24
2013-08,26
2013-09,24
2013-10,20
2013-11,18
2013-12,19
2014-01,37
2014-02,23
2014-03,26
2014-04,29
2014-05,22
2014-06,18
2014-07,35
2014-08,45
2014-09,34
2014-10,22
2014-11,21
2014-12,25
2015-01,26
2015-02,23
2015-03,22
2015-04,23
2015-05,23
2015-06,27
2015-07,38
2015-08,43
2015-09,33
2015-10,25
2015-11,19
2015-12,24
2016-01,27
2016-02,32
2016-03,24
2016-04,23
2016-05,33
2016-06,30
2016-07,42
2016-08,38
2016-09,31
2016-10,28
2016-11,27
2016-12,26
2017-01,33
2017-02,34
2017-03,26
2017-04,31
2017-05,34
2017-06,35
2017-07,45
2017-08,42
2017-09,31
2017-10,28
2017-11,23
2017-12,32
2018-01,40
2018-02,32
2018-03,31
2018-04,26
2018-05,25
2018-06,23
2018-07,28
2018-08,35
2018-09,28
2018-10,30
2018-11,27
2018-12,38
2019-01,37
2019-02,40
2019-03,38
2019-04,38
2019-05,30
2019-06,34
2019-07,63
2019-08,40
2019-09,24
2019-10,30
2019-11,28
2019-12,32
2020-01,44
2020-02,29
2020-03,30
2020-04,17
2020-05,16
2020-06,23
2020-07,34
2020-08,33
2020-09,35
2020-10,31
2020-11,27
2020-12,34
2021-01,39
2021-02,34
2021-03,31
2021-04,36
2021-05,41
2021-06,21
2021-07,28
2021-08,43
2021-09,69
2021-10,57
2021-11,66
2021-12,60
2022-01,46
2022-02,64
2022-03,56
2022-04,54
2022-05,37
2022-06,33
2022-07,69
2022-08,93
2022-09,69
2022-10,89
2022-11,56
2022-12,32
2023-01,74
2023-02,100
2023-03,71
2023-04,68
2023-05,56
2023-06,94
2023-07,72
2023-08,65
2023-09,64
2023-10,58
2023-11,52
2023-12,56
2024-01,32
2024-02,36
2024-03,38
2024-04,43
2024-05,43
2024-06,21
2024-07,28
2024-08,45
2024-09,40
