"Match","Position","Points"
"1","1","3"
"2","1","6"
"3","2","9"
"4","3","9"
"5","7","9"
"6","6","12"
"7","6","13"
"8","7","14"
"9","7","14"
"10","8","15"
"11","6","18"
"12","6","19"
"13","6","20"
"14","6","21"
"15","6","24"
"16","6","27"
"17","6","30"
"18","6","33"
"19","6","36"
"20","6","39"
"21","6","40"
"22","6","41"
"23","6","42"
"24","6","45"
"25","6","48"
"26","6","49"
"27","5","52"
"28","5","53"
"29","5","54"
"30","5","57"
"31","5","60"
"32","5","63"
"33","5","64"
"34","5","65"
"35","5","65"
"36","6","65"
"37","6","66"
"38","6","69"
