Season,Match,Position,Date
2022_23,1,13,2016-08-14
2022_23,2,20,2016-08-19
2022_23,3,14,2016-08-27
2022_23,4,7,2016-09-10
2022_23,5,5,2016-09-18
2022_23,6,5,2016-09-24
2022_23,7,6,2016-10-02
2022_23,8,5,2016-10-17
2022_23,9,5,2016-10-23
2022_23,10,5,2016-10-29
2022_23,11,5,2016-11-06
2022_23,12,5,2016-11-19
2022_23,13,5,2016-11-27
2022_23,14,5,2016-12-04
2022_23,15,5,2016-12-11
2022_23,16,4,2016-12-14
2022_23,17,4,2016-12-17
2022_23,18,3,2016-12-26
2022_23,19,3,2016-12-31
2022_23,20,4,2017-01-02
2022_23,21,3,2017-01-15
2022_23,22,3,2017-01-21
2022_23,23,3,2017-02-01
2022_23,24,3,2017-02-05
2022_23,25,3,2017-02-11
2022_23,26,3,2017-03-04
2022_23,27,4,2017-03-19
2022_23,28,4,2017-04-01
2022_23,29,4,2017-04-04
2022_23,30,3,2017-04-09
2022_23,31,4,2017-04-16
2022_23,32,4,2017-04-23
2022_23,33,4,2017-04-27
2022_23,34,4,2017-04-30
2022_23,35,4,2017-05-07
2022_23,36,4,2017-05-14
2022_23,37,3,2017-05-17
2022_23,38,3,2017-05-21
2020_21,1,16,2017-08-13
2020_21,2,13,2017-08-19
2020_21,3,16,2017-08-26
2020_21,4,14,2017-09-09
2020_21,5,15,2017-09-17
2020_21,6,15,2017-09-23
2020_21,7,14,2017-09-30
2020_21,8,9,2017-10-14
2020_21,9,8,2017-10-21
2020_21,10,4,2017-10-28
2020_21,11,8,2017-11-05
2020_21,12,6,2017-11-18
2020_21,13,3,2017-11-25
2020_21,14,4,2017-11-28
2020_21,15,2,2017-12-02
2020_21,16,2,2017-12-10
2020_21,17,1,2017-12-13
2020_21,18,1,2017-12-17
2020_21,19,1,2017-12-23
2020_21,20,2,2017-12-26
2020_21,21,2,2017-12-30
2020_21,22,2,2018-01-01
2020_21,23,2,2018-01-15
2020_21,24,2,2018-01-20
2020_21,25,2,2018-01-31
2020_21,26,2,2018-02-03
2020_21,27,2,2018-02-11
2020_21,28,2,2018-02-25
2020_21,29,2,2018-03-05
2020_21,30,2,2018-03-10
2020_21,31,2,2018-03-31
2020_21,32,2,2018-04-07
2020_21,33,2,2018-04-15
2020_21,34,2,2018-04-18
2020_21,35,2,2018-04-29
2020_21,36,2,2018-05-04
2020_21,37,2,2018-05-10
2020_21,38,2,2018-05-13
2018_19,1,1,2018-08-10
2018_19,2,10,2018-08-19
2018_19,3,13,2018-08-27
2018_19,4,10,2018-09-02
2018_19,5,8,2018-09-15
2018_19,6,6,2018-09-22
2018_19,7,10,2018-09-29
2018_19,8,8,2018-10-06
2018_19,9,9,2018-10-20
2018_19,10,8,2018-10-28
2018_19,11,7,2018-11-03
2018_19,12,8,2018-11-11
2018_19,13,7,2018-11-24
2018_19,14,7,2018-12-01
2018_19,15,8,2018-12-05
2018_19,16,6,2018-12-08
2018_19,17,6,2018-12-16
2018_19,18,6,2018-12-22
2018_19,19,6,2018-12-26
2018_19,20,6,2018-12-30
2018_19,21,6,2019-01-02
2018_19,22,6,2019-01-13
2018_19,23,6,2019-01-19
2018_19,24,6,2019-01-29
2018_19,25,5,2019-02-03
2018_19,26,4,2019-02-09
2018_19,27,5,2019-02-24
2018_19,28,5,2019-02-27
2018_19,29,4,2019-03-02
2018_19,30,5,2019-03-10
2018_19,31,4,2019-03-30
2018_19,32,5,2019-04-02
2018_19,33,5,2019-04-13
2018_19,34,6,2019-04-21
2018_19,35,6,2019-04-24
2018_19,36,6,2019-04-28
2018_19,37,6,2019-05-05
2018_19,38,6,2019-05-12
2016_17,1,1,2019-08-11
2016_17,2,1,2019-08-19
2016_17,3,2,2019-08-24
2016_17,4,3,2019-08-31
2016_17,5,7,2019-09-14
2016_17,6,6,2019-09-22
2016_17,7,6,2019-09-30
2016_17,8,7,2019-10-06
2016_17,9,7,2019-10-20
2016_17,10,8,2019-10-27
2016_17,11,6,2019-11-02
2016_17,12,6,2019-11-10
2016_17,13,6,2019-11-24
2016_17,14,6,2019-12-01
2016_17,15,6,2019-12-04
2016_17,16,6,2019-12-07
2016_17,17,6,2019-12-15
2016_17,18,6,2019-12-22
2016_17,19,6,2019-12-26
2016_17,20,6,2019-12-28
2016_17,21,6,2020-01-01
2016_17,22,6,2020-01-11
2016_17,23,6,2020-01-19
2016_17,24,6,2020-01-22
2016_17,25,6,2020-02-01
2016_17,26,6,2020-02-17
2016_17,27,5,2020-02-23
2016_17,28,5,2020-03-01
2016_17,29,5,2020-03-08
2016_17,30,5,2020-06-19
2016_17,31,5,2020-06-24
2016_17,32,5,2020-06-30
2016_17,33,5,2020-07-04
2016_17,34,5,2020-07-09
2016_17,35,5,2020-07-13
2016_17,36,6,2020-07-16
2016_17,37,6,2020-07-22
2016_17,38,6,2020-07-26
2019_20,1,2,2020-09-19
2019_20,2,4,2020-09-26
2019_20,3,5,2020-10-04
2019_20,4,7,2020-10-17
