Date,Close/Last,Open,High,Low
07/05/2024,465.0758,468.9903,469.937,461.9273
07/03/2024,467.0909,457.3616,469.8444,456.4637
07/02/2024,452.6402,447.1168,455.2006,446.3567
07/01/2024,443.2176,446.6093,448.5056,442.4779
06/28/2024,445.4215,459.4902,461.6365,442.0227
06/27/2024,458.2221,452.2239,458.9989,449.3635
06/26/2024,455.0454,453.4423,457.8564,451.377
06/25/2024,446.3894,449.7285,450.1411,444.5583
06/24/2024,451.0097,449.9227,455.081,447.7813
06/21/2024,449.7401,451.3793,453.0571,447.295
06/20/2024,452.471,458.8336,459.1019,451.23
06/18/2024,465.3845,463.7684,467.3367,462.2866
06/17/2024,466.8829,469.8593,470.3834,459.2301
06/14/2024,471.3639,483.0778,484.5612,471.1095
06/13/2024,488.1001,498.2576,501.047,485.931
06/12/2024,497.7213,504.258,509.4363,495.5134
06/11/2024,490.4424,485.2795,490.9371,479.474
06/10/2024,488.8034,476.6081,490.929,474.884
06/07/2024,479.1505,482.2051,488.6626,475.9556
06/06/2024,490.0769,489.9771,492.9004,485.8464
06/05/2024,493.9117,485.516,494.6889,482.5825
06/04/2024,482.2673,487.8424,489.307,481.2426
06/03/2024,489.9536,497.4932,500.2419,486.9319
05/31/2024,491.3763,495.3966,500.9607,479.9461
05/30/2024,494.0466,485.8631,495.1224,485.7279
05/29/2024,484.3393,483.714,489.253,483.223
05/28/2024,493.6388,497.2746,499.3251,490.6876
05/24/2024,492.8121,475.7128,492.885,475.4891
05/23/2024,472.015,484.813,485.5966,469.7177
05/22/2024,485.8438,462.962,489.829,462.962
05/21/2024,463.3917,455.6536,463.6759,455.6536
05/20/2024,458.51,458.5418,458.6764,453.4363
05/17/2024,458.7776,459.1282,462.4168,456.1787
05/16/2024,459.4983,462.3782,463.3183,458.1314
05/15/2024,460.8371,472.6095,472.6095,455.7687
05/14/2024,463.1929,464.8894,469.9865,459.5245
05/13/2024,450.6033,447.235,457.4837,447.235
05/10/2024,443.4756,457.0239,458.4297,443.066
05/09/2024,452.3163,447.5337,452.8661,443.1977
05/08/2024,449.1472,442.8338,449.3034,441.937
05/07/2024,451.5946,456.6003,459.6622,451.564
05/06/2024,456.4158,452.2795,457.0126,452.2077
05/03/2024,448.8367,447.3106,453.827,444.0693
05/02/2024,433.9407,427.3366,434.8645,418.5566
05/01/2024,421.3627,421.6483,435.7082,418.5264
04/30/2024,421.7376,426.5888,429.9941,421.7244
04/29/2024,433.5917,427.1845,435.1122,425.9624
04/26/2024,418.3435,412.5061,421.6523,411.2169
04/25/2024,410.7708,406.9734,411.9349,400.6436
04/24/2024,411.8051,415.5544,419.5354,407.4628
04/23/2024,408.2319,398.3921,411.8565,398.3921
04/22/2024,399.3373,396.2189,401.838,391.5166
04/19/2024,397.7143,399.4363,402.9663,395.9175
04/18/2024,401.336,404.8845,409.1392,398.4718
04/17/2024,407.1839,407.1093,413.3386,405.2451
04/16/2024,405.3902,406.5281,410.0797,403.0016
04/15/2024,412.9778,426.7699,428.6679,411.804
04/12/2024,427.0273,441.1646,441.922,425.8376
04/11/2024,443.2853,444.3375,446.4956,433.8321
04/10/2024,441.9157,439.6284,442.8578,436.5549
04/09/2024,453.0443,446.0654,453.5506,445.3318
04/08/2024,442.0544,437.5552,445.5839,437.00
04/05/2024,433.2027,431.6142,437.2652,430.1861
04/04/2024,436.8662,446.1034,453.182,435.2944
04/03/2024,440.2589,432.3526,440.4028,430.4201
04/02/2024,435.9656,440.6944,441.5752,434.9172
04/01/2024,451.6968,455.9819,456.4435,447.6911
03/28/2024,453.0482,453.6006,458.3242,450.8057
03/27/2024,452.6924,436.3623,452.8123,435.6679
03/26/2024,431.3969,438.6238,439.3616,431.2376
03/25/2024,433.8686,435.803,442.1679,433.2317
03/22/2024,435.9895,437.5398,439.3545,434.0161
03/21/2024,441.7486,441.3327,448.5468,440.6987
03/20/2024,437.4842,424.2928,440.8133,423.6336
03/19/2024,425.472,423.7512,428.1902,422.8934
03/18/2024,429.5344,429.1962,433.1355,422.6488
03/15/2024,426.098,424.8457,428.1677,422.7858
03/14/2024,427.1203,441.0935,441.8149,423.5678
03/13/2024,443.9203,447.7514,454.4151,443.3255
03/12/2024,453.356,460.0343,461.0245,449.5115
03/11/2024,460.1779,459.3417,467.6721,459.0019
03/08/2024,459.7027,469.2752,473.2944,459.6576
03/07/2024,463.5878,454.0188,466.7231,453.3111
03/06/2024,451.0706,449.2454,455.2845,442.5018
03/05/2024,443.1874,451.228,451.90,442.6346
03/04/2024,457.3661,467.7801,468.1131,455.181
03/01/2024,468.7726,460.0221,471.6446,456.5155
02/29/2024,460.1548,459.1424,467.4236,454.2133
02/28/2024,452.6977,451.6157,457.9634,449.3804
02/27/2024,452.5727,453.9076,455.1894,449.3223
02/26/2024,446.2878,439.8111,450.0416,439.0343
02/23/2024,438.6314,445.8933,446.6557,437.7142
02/22/2024,449.4677,460.3173,460.3173,448.9749
02/21/2024,467.5913,464.6552,469.6605,463.4283
02/20/2024,472.7286,476.5417,480.2168,467.8248
02/16/2024,484.2759,487.3565,490.8018,481.3821
02/15/2024,489.872,485.5626,492.7771,483.555
02/14/2024,480.4553,472.7071,480.6219,469.7421
02/13/2024,463.339,466.9914,471.5088,459.9186
02/12/2024,488.5374,478.78,495.5484,478.6303
02/09/2024,479.6305,472.3852,481.0524,471.2453
02/08/2024,469.011,461.7623,470.941,459.7903
02/07/2024,462.2285,466.843,467.2768,454.9029
02/06/2024,454.8922,444.1436,454.9955,443.028
02/05/2024,445.7613,450.2272,451.4336,439.9444
02/02/2024,455.7231,452.34,457.599,448.249
02/01/2024,462.5379,463.3091,469.1771,453.3773
01/31/2024,454.3853,461.528,474.3769,453.6995
01/30/2024,464.2713,471.3174,470.8419,464.2025
01/29/2024,471.3174,455.8122,471.4699,451.9704
01/26/2024,456.138,461.147,464.5495,455.58
01/25/2024,458.513,463.8478,465.131,452.9975
01/24/2024,464.8614,482.0643,482.6143,464.1379
01/23/2024,474.7416,480.1351,483.0182,469.5828
01/22/2024,468.005,461.8147,480.2939,460.409
01/19/2024,456.5486,455.5424,458.2798,445.7161
01/18/2024,455.4851,462.8457,462.8457,449.4123
01/17/2024,457.745,457.4065,460.863,452.7179
01/16/2024,470.0919,476.1561,477.4115,468.6874
01/12/2024,481.0827,491.8021,496.8098,479.7357
01/11/2024,490.3952,497.6227,498.7958,484.4057
01/10/2024,501.2263,504.8129,505.2374,494.094
01/09/2024,507.1659,505.5353,512.3067,502.7713
01/08/2024,513.0691,505.1774,514.3287,502.4637
01/05/2024,506.4785,504.8695,518.0837,504.2515
01/04/2024,510.2261,515.1129,517.8094,510.0171
01/03/2024,522.4185,528.2293,530.0559,514.8983
01/02/2024,542.3712,542.6535,552.7354,538.5774
12/29/2023,552.079,560.157,561.4915,550.7934
12/28/2023,561.9915,563.7298,567.9255,560.4032
12/27/2023,565.2246,568.385,569.1359,562.5778
12/26/2023,565.901,559.5329,568.4615,559.0481
12/22/2023,556.3441,555.9283,561.0498,552.0251
12/21/2023,554.291,549.9782,555.7541,548.2497
12/20/2023,538.3131,558.9124,562.0192,538.0139
12/19/2023,562.9428,555.0466,564.7871,553.5142
12/18/2023,549.1893,549.4208,554.7288,544.4732
12/15/2023,553.7631,559.829,560.1477,546.6613
12/14/2023,553.1886,532.5474,558.8275,532.4643
12/13/2023,513.8773,483.3044,513.9364,481.883
12/12/2023,484.8793,491.7907,491.9775,478.6935
12/11/2023,495.4321,490.1988,496.5882,489.4147
12/08/2023,493.4898,493.9081,501.7913,489.3752
12/07/2023,493.2272,486.528,493.9884,485.5227
12/06/2023,485.2632,489.915,499.7053,484.7152
12/05/2023,484.1841,490.2875,492.637,483.8264
12/04/2023,494.4244,493.4164,501.6169,490.6792
12/01/2023,496.9464,474.8087,497.2365,471.4069
11/30/2023,477.9087,483.2171,483.5444,473.9063
11/29/2023,480.5016,483.2831,493.3766,479.4724
11/28/2023,474.8201,464.8767,475.0384,460.512
11/27/2023,464.7712,466.4145,469.0455,461.5658
11/24/2023,470.2674,468.2354,473.3075,466.4942
11/22/2023,469.4074,472.4805,473.7762,467.084
11/21/2023,468.5609,475.6326,477.2413,467.4119
11/20/2023,479.5497,472.1486,482.091,468.6039
11/17/2023,471.4023,469.0765,471.5574,462.9217
11/16/2023,466.9999,475.0391,475.7312,463.6331
11/15/2023,478.1884,472.4351,491.2816,471.3419
11/14/2023,469.0297,452.2984,469.7495,451.5734
11/13/2023,433.9168,428.0029,436.6933,425.0193
11/10/2023,431.567,426.9526,431.567,423.5957
11/09/2023,430.8725,449.8823,450.3239,429.7114
11/08/2023,447.512,456.6645,456.8739,442.5754
11/07/2023,458.4477,455.1799,459.2186,450.5124
11/06/2023,456.1409,472.1365,472.2005,451.551
11/03/2023,469.8527,468.9963,479.4419,467.4643
11/02/2023,459.2449,445.2829,460.5212,445.1629
11/01/2023,437.0986,440.9119,440.9646,428.9718
10/31/2023,439.2593,434.3837,440.0135,432.7726
10/30/2023,434.1821,449.491,452.2508,431.2747
10/27/2023,452.4038,464.8898,464.9404,451.086
10/26/2023,464.1274,469.398,473.0749,461.7398
10/25/2023,465.4096,472.0555,472.1558,464.6051
10/24/2023,479.0208,477.5768,485.6796,476.0206
10/23/2023,470.9048,468.5209,479.8598,460.6406
